,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,,Karl-Anthony Towns,C-F,6-11,248,"November 15, 1995",us,8,Kentucky
1,,Jaden McDaniels,F,6-9,185,"September 29, 2000",us,3,Washington
2,,Anthony Edwards,G,6-4,225,"August 5, 2001",us,3,Georgia
3,,Rudy Gobert,C,7-1,258,"June 26, 1992",fr,10,
4,,Mike Conley,G,6-1,175,"October 11, 1987",us,16,Ohio State
5,,Jordan McLaughlin,G,5-11,185,"April 9, 1996",us,4,USC
6,,Wendell Moore Jr.,G-F,6-5,213,"September 18, 2001",us,1,Duke
7,,Kyle Anderson,F-G,6-9,230,"September 20, 1993",us,9,UCLA
8,,Josh Minott,F,6-8,205,"November 25, 2002",us,1,Memphis
9,,Naz Reid,F,6-9,264,"August 26, 1999",us,4,LSU
10,,Luka Garza (TW),F-C,6-11,235,"December 27, 1998",us,2,Iowa
11,,Jaylen Clark (TW),G,6-5,205,"October 13, 2001",us,R,UCLA
12,,Troy Brown Jr.,G-F,6-6,215,"July 28, 1999",us,5,Oregon
13,,Shake Milton,G,6-5,205,"September 26, 1996",us,5,SMU
14,,Leonard Miller,F,6-10,210,"November 26, 2003",ca,R,
15,,Nickeil Alexander-Walker,G,6-6,205,"September 2, 1998",ca,4,Virginia Tech
